title, subtitle, publisher, country, year, last_month_downloads, last_month_revenue
SlideShow Maker with Music Fx, Photo Video Maker with Music, Debotosh Dey Support, US, 08/05/2017, 40k, $100k
SlideShow Maker Photo to Video, Picture with music slide show, Free Photo Video Editor And Picture Movie Editing Pte. Ltd. Support, US, 02/17/2015, 200k, $900k
Slideshow Maker Photo Video, Add music to video slides show, Maple Labs Co., Ltd Support, US, 09/30/2019, 20k, $70k
Slideshow Add Music to Photos, Photo slide show, video maker, Easy Tiger Apps, LLC. Support, US, 10/12/2014, 30k, $90k
Slideshow Maker Video & Photo, Slide show creator with music, Alan Cushway Support, US, 10/01/2019, 30k, $20k
Add Background Music To Video, Videos editor with clip maker, Easy Tiger Apps, LLC. Support, US, 07/16/2015, 300k, $600k
InShot - Video Editor, Video maker with music, InstaShot Inc. Support, US, 06/11/2015, 2m, $1m
Photo Slideshow - Video Maker, Photo video maker with music, TOH CO.,LTD Support, US, 04/10/2019, 20k, 
Quick & Easy Slideshow Maker, Slideshow Maker With Music, Grassapper LLC Support, US, 08/15/2015, < 5k, < $5k
MoShow Slideshow Photo & Video, Make music slide shows & edits, Picadelic Support, US, 11/07/2017, 30k, $100k
Slideshow Maker w Music, Make Photo Video Slide Show, Md. Mahmudur Rahman Support, US, 06/23/2016, 8k, $60k
Slideshow Music Video Maker, Slide Show With Photo Montage, Appostrophe AB Support, Mexico, 11/25/2019, 40k, 
Filmmaker Pro - Video Editor, Movie Maker, Slideshow, Text, Tinkerworks Apps Support, US, 04/07/2016, 200k, $200k
SlideShow Maker ·, Video Movie Editor, APP FLIGHT LLP Support, US, 06/07/2016, 20k, $30k
Slideshow Creator, Turn your memories into movies, Animoto Inc. Support, US, 12/19/2011, < 5k, $20k
PicPlayPost - Video Editor, Video Collage, Slideshow Maker, Mixcord Inc. Support, US, 02/23/2012, 60k, $200k
Slide Show Makér, Slideshow maker w music video, Yogesh Ukani Support, US, 08/10/2019, 7k, $8k
Slideshow Add Music To Video, Add background music to video, Biswajit Paul Support, US, 05/18/2017, 7k, $20k
SlideShow Maker Video Music, Pic Photo Slide Show Editor, SHADOWSOCKS TECHNOLOGY LTD Support, US, 05/10/2021, 6k, $10k
Slideshow GIF Video Maker, Add Music to Photos & Videos, 茂龙 黄 Support, China, 06/08/2021, < 5k, 
VideoShow Video Editor & Maker, Vlog Music Maker&LiveWallpaper, Shanghai Enjoy Information Technology Co., Ltd Support, China, 12/12/2014, 200k, $200k
VideoShow Video Editor & Maker, Vlog Music Maker&LiveWallpaper, Shanghai Enjoy Information Technology Co., Ltd Support, China, 12/12/2014, 200k, $200k
Mivo - Music Video Maker, Transition video editor, WISE OWL PTE. LTD. Support, US, 10/14/2020, 400k, $90k
