search term, traffic, iphone difficulty, ipad difficulty
inshot, 7.0, 9.1, 9
video, 5.5, 8.7, 9.4
kinemaster, 5.5, 9.1, 9.4
quik, 5.1, 8.6, 9
slideshow, 4.4, 8.6, 8.1
videoshop, 4.5, 8.8, 8.9
vivavideo, 3.7, 8.6, 8.3
vue, 3.4, 7.5, 8.9
animoto, 3.4, 8.3, 8.3
filmora, 4.7, 8.9, 9.4
lomotif, 5.4, 9.2, 9.5
magisto, 3.7, 9.1, 9.3
splice, 5.7, 8.9, 9.1
clips, 5.4, 9.4, 8.6
editing, 4.8, 9.4, 9.3
imovie, 7.1, 9.2, 9
befunky, 3.9, 9.4, 9.4
cap, 4.3, 9.5, 9.4
edit, 5.5, 9.3, 9.2
picsart, 7.8, 9.5, 9.4
ins, 5.8, 9.5, 9.3
insta, 6.8, 9.5, 9.3
pic, 4.6, 9.5, 8.5
aparat, 3.6, 8.7, 9.5
photogrid, 5.5, 9.2, 8.8
prequel, 7.1, 9, 8.6
snapseed, 6.8, 9.2, 9.5
funimate, 6.6, 8.5, 9.3
kwai, 5.9, 8.9, 8.4
picmonkey, 4.2, 8.8, 9.5
instagram, 10.0, 9.5, 9.4
flipagram, 4.9, 9.1, 9.1
smooth, 3.9, 8.1, 7.6
vsco, 7.2, 8.2, 9.3
unfold, 5.0, 7.5, 8.6
instdown, 5.1, 8.4, 9.5
ig, 6.6, 9, 9
lightroom, 6.8, 8.2, 8.2
tiktok, 8.3, 9.4, 9.1
youtube, 8.9, 9.4, 9.4
cc, 3.6, 9.3, 9.4
moldiv, 3.7, 8.7, 8.6
pixar, 3.8, 8.6, 7.5
blur, 4.6, 7, 6.9
photo, 5.9, 9.1, 9
collage, 5.8, 8.5, 9.5
amerigo, 4.5, 9.5, 9.5
picture, 4.5, 9.5, 9.2
nike, 7.5, 9.5, 8.5
lift, 5.3, 9.5, 4.9
tik, 6.1, 9, 9
sound, 4.5, 9.2, 8.6
appstore, 4.3, 9.5, 8.7
transit, 6.0, 8, 8
darkroom, 3.6, 7.9, 7.2
netease, 3.3, 8.1, 8.2
motion, 4.2, 7.7, 7.9
meme, 4.9, 8.6, 7.8
aviary, 3.6, 8.8, 9.2
ps, 5.2, 8.1, 8.2
setting, 3.6, 8.6, 9.1
messanger, 5.2, 9.4, 9.5
number, 4.5, 8.8, 8
music, 7.4, 9.3, 9.3
speed, 4.5, 7.2, 8.5
cartoon, 4.4, 7.4, 7.9
maker, 3.5, 8.5, 8.5
stickers, 5.3, 6.3, 7.4
entertainment, 3.9, 9.4, 9.3
apps, 5.2, 9.5, 9.5
