search term, traffic, iphone difficulty, ipad difficulty
picplaypost, 4.3, 8.9, 7.4
flipagram, 4.9, 9.1, 9.1
pic, 4.6, 9.5, 8.5
slideshow, 4.4, 8.6, 8.1
montage, 2.8, 8, 7.8
enlighten, 3.7, 7.9, 7.9
leap, 3.9, 7.4, 7.4
copycat, 2.1, 7.7, 6.9
bct, 2.0, 7.7, 9.1
caput, 2.7, 8.8, 9
cue, 3.8, 4.4, 9.1
gifmaker, 1.8, 7.8, 8.9
inshot, 7.0, 9.1, 9
cap, 4.3, 9.5, 9.5
videoshow, 4.2, 8.4, 8.4
editing, 4.8, 9.4, 9.3
km, 2.7, 7.4, 9.4
marshmallow, 3.1, 7.6, 7.8
timbre, 1.9, 8.7, 9.1
splice, 5.7, 8.9, 9.1
reel, 3.4, 7.7, 6.7
layout, 5.9, 8.4, 9
collagemaker, 2.2, 9, 9.5
post, 3.4, 8.9, 8.9
installer, 1.8, 6.6, 7.4
video, 5.5, 8.7, 9.4
slides, 6.1, 9.1, 9.5
picture, 4.5, 9.5, 9.2
motion, 4.2, 7.7, 7.9
transit, 6.0, 8, 8
shower, 2.4, 7.4, 8.6
output, 1.9, 7.7, 9.2
collage, 5.8, 8.5, 9.5
blur, 4.6, 7, 6.9
crop, 3.7, 8.6, 9.3
moviemaker, 2.0, 8.7, 8.2
transport, 2.5, 7.2, 6.6
cc, 3.6, 9.2, 9.4
intro, 3.7, 5.8, 6.3
photoframe, 2.0, 8.7, 7.4
backround, 3.4, 8.2, 7
gif, 6.0, 8, 8
speed, 4.5, 7.2, 8.5
create, 4.0, 8.2, 7.2
theme, 4.7, 7.8, 8.2
abm, 2.2, 9.5, 9.4
wallpapers, 6.4, 7.8, 7.2
effect, 3.1, 9.2, 8.1
edit, 5.5, 9.3, 9.2
picasso, 2.4, 7.3, 8
movies, 5.9, 9.3, 9.5
photoeditor, 2.3, 8.9, 9
aviary, 3.6, 8.8, 9.2
photographer, 2.0, 8.4, 9.3
amerigo, 4.5, 9.5, 9.5
butter, 2.3, 8.3, 8.2
maui, 2.7, 5.2, 3.8
living, 3.5, 9.5, 9.4
ncs, 1.8, 9, 9.4
netease, 3.3, 8.1, 8.2
photo, 5.9, 9.1, 9
maker, 3.5, 8.5, 8.5
peru, 1.7, 6.7, 9
bugs, 2.9, 6.9, 6.2
play, 4.9, 9.5, 9.4
ato, 1.9, 8.9, 9.2
music, 7.4, 9.3, 9.3
collection, 2.5, 7.3, 8.1
life, 5.8, 8.7, 9.2
sand, 3.6, 8.3, 8.3
