search term, traffic, iphone difficulty, ipad difficulty
flipagram, 4.9, 9.1, 9.1
slideshow, 4.4, 8.6, 8.1
videoshow, 4.2, 8.4, 8.4
picto, 1.9, 9, 7.9
vivavideo, 3.7, 8.6, 8.3
auc, 0.5, 1.6, 7.4
picplaypost, 4.3, 8.9, 7.4
librarian, 0.5, 9.4, 9.5
montage, 2.8, 8, 7.8
rotation, 1.5, 4.6, 6.9
soundtrack, 3.0, 8.6, 6.8
splice, 5.7, 8.9, 9.1
birthday, 3.6, 7.4, 6.6
clipping, 0.5, 7.2, 8.9
photoshare, 2.9, 8.4, 8.2
sliding, 1.2, 9.5, 8.4
slides, 6.1, 9.1, 9.5
add, 3.4, 6.9, 8.9
froma, 0.5, 9, 9.1
library, 4.8, 8.4, 9.2
bob, 3.8, 8.2, 7.8
output, 1.9, 7.7, 9.2
backdrop, 2.4, 7.6, 7.9
grounds, 0.7, 8, 9.1
background, 5.0, 8.3, 7.9
commercial, 0.8, 7.9, 8.5
shower, 2.4, 7.4, 8.6
photomontage, 0.5, 9.1, 9.2
cher, 1.1, 9.5, 9.4
clips, 5.4, 9.4, 8.6
inst, 5.0, 9.4, 9.3
imagechef, 0.9, 3.1, 8.9
voice, 6.2, 8.1, 8.1
premium, 3.2, 9.4, 8.5
sounding, 0.5, 9.5, 9.4
cons, 1.6, 8.9, 9.5
share, 3.9, 7, 9.5
imagic, 0.5, 7.6, 9.5
sharing, 2.0, 8.7, 8.3
sound, 4.5, 9.2, 8.6
gaga, 1.7, 5.7, 8.2
music, 7.4, 9.3, 9.3
to, 4.5, 9.5, 8.8
video, 5.5, 8.7, 9.4
