search term, traffic, iphone difficulty, ipad difficulty
montage, 2.8, 8, 7.8
clips, 5.4, 9.4, 8.6
filmer, 1.6, 8.9, 9.3
madlipz, 3.1, 7.4, 7.9
vivavideo, 3.7, 8.6, 8.3
fmp, 3.0, 7.9, 9.4
lom, 1.0, 8.7, 9.5
triller, 5.8, 9, 9
onto, 1.0, 8.5, 7.6
lomotif, 5.4, 9.2, 9.5
flipagram, 4.9, 9.1, 9.1
timbre, 1.9, 8.7, 9.1
slideshow, 4.4, 8.6, 8.1
caput, 2.7, 8.8, 9
inshot, 7.0, 9.1, 9
magisto, 3.7, 9.1, 9.3
blockbuster, 2.3, 8.1, 7.8
glimpse, 2.7, 3.5, 9.4
audition, 2.6, 7.1, 6.8
luma, 4.2, 5.2, 4.6
splicer, 1.4, 8.6, 9.4
oval, 1.2, 8.4, 8.4
imovie, 7.1, 9.2, 9
instaphoto, 1.4, 9.5, 9.2
avn, 1.1, 9.1, 9.3
funimate, 6.6, 8.5, 9.3
backdrop, 2.4, 7.7, 7.9
premium, 3.2, 9.4, 8.5
appstore, 4.3, 9.5, 8.7
output, 1.9, 7.7, 9.2
program, 2.0, 8.4, 7.7
video, 5.5, 8.7, 9.4
programming, 3.3, 7.3, 6.1
mesenger, 4.4, 9.5, 9
background, 5.0, 8.3, 7.7
lut, 1.3, 7.6, 8.5
stare, 1.6, 8.7, 9.1
sharpen, 1.1, 8.8, 9
addon, 3.5, 6.7, 6.8
moviemaker, 2.0, 8.7, 8.2
edit, 5.5, 9.3, 9.2
gaga, 1.7, 5.7, 8.2
song, 4.7, 9.4, 9.4
audio, 4.5, 9, 8.8
ncs, 1.8, 9, 9.4
coldplay, 1.2, 9, 9.4
abm, 2.2, 9.5, 9.4
shallow, 1.3, 9.5, 9.5
music, 7.4, 9.3, 9.3
picasso, 2.4, 7.3, 8
moviepass, 1.5, 9.1, 9.5
photography, 4.0, 7.6, 8.9
editing, 4.8, 9.4, 9.3
miu, 1.0, 9.5, 9.5
musket, 1.6, 9, 8.8
photoeditor, 2.3, 8.9, 9
amerigo, 4.5, 9.5, 9.5
ins, 5.8, 9.5, 9.3
ato, 1.9, 8.9, 9.2
collection, 2.5, 7.3, 8.1
bugs, 2.9, 6.9, 6.2
peru, 1.7, 6.7, 9
aviary, 3.6, 8.8, 9.2
netease, 3.3, 8.1, 8.2
maker, 3.5, 8.5, 8.5
myapp, 1.6, 8.8, 8.6
argos, 1.7, 9.5, 9.2
photo, 5.9, 9.1, 9
pic, 4.6, 9.5, 8.5
picture, 4.5, 9.5, 9.2
