search term, traffic, iphone difficulty, ipad difficulty
fmp, 3.0, 7.9, 9.4
filmora, 4.7, 8.9, 9.4
imovie, 7.1, 9.2, 9
moviemaker, 2.0, 8.7, 8.2
transition, 1.6, 9, 8.8
splice, 5.7, 8.9, 9.1
director, 1.8, 8.6, 4.7
magisto, 3.7, 9.1, 9.3
amv, 2.2, 8.3, 9.2
kinemaster, 5.5, 9.1, 9.4
clip, 3.8, 8.9, 8.3
moviestar, 2.5, 8.6, 8.3
ccp, 2.3, 9.5, 9
video, 5.5, 8.7, 9.4
inshot, 7.0, 9.1, 9
stare, 1.6, 8.7, 9.1
picmonkey, 4.2, 8.8, 9.5
textedit, 2.2, 9.5, 8.8
4k, 3.0, 6.7, 7.8
caput, 2.7, 8.8, 9
slideshow, 4.4, 8.6, 8.1
cherokee, 1.5, 3.8, 4.9
funimate, 6.6, 8.5, 9.3
chrome, 7.9, 8.1, 8.3
format, 2.2, 9.4, 9.3
blockbuster, 2.3, 8.1, 7.8
glimpse, 2.7, 3.5, 9.4
illustrator, 4.8, 8.2, 7.5
rotation, 1.5, 4.6, 6.9
edit, 5.5, 9.3, 9.2
typewriter, 2.6, 6.6, 6.8
key, 3.8, 8.4, 7.3
smartmusic, 2.4, 7.1, 8
instaphoto, 1.4, 9.5, 9.2
editing, 4.8, 9.4, 9.3
che, 2.4, 9.3, 9.4
gaga, 1.7, 5.7, 8.2
output, 1.9, 7.7, 9.2
ncs, 1.8, 9, 9.4
chromium, 2.1, 8.3, 8.6
musket, 1.6, 9, 8.8
mesenger, 4.4, 9.5, 9
myspace, 4.8, 8.7, 7.1
pic, 4.6, 9.5, 8.5
moviepass, 1.5, 9.1, 9.5
abm, 2.2, 9.5, 9.4
type, 3.8, 8.3, 8.2
textfree, 5.7, 8.4, 8.4
typography, 2.5, 8.2, 8.4
testing, 1.7, 9.2, 9
picasso, 2.4, 7.3, 8
addon, 3.5, 6.7, 6.8
maui, 2.7, 5.2, 3.8
fonts, 7.0, 8.2, 7.7
photographer, 2.0, 8.4, 9.3
photoeditor, 2.3, 8.9, 9
text, 6.6, 8.3, 8.9
music, 7.4, 9.3, 9.3
netease, 3.3, 8.1, 8.2
amerigo, 4.5, 9.5, 9.5
merging, 1.5, 8.8, 8.5
peru, 1.7, 6.7, 9
bugs, 2.9, 6.9, 6.2
aviary, 3.6, 8.8, 9.2
collection, 2.5, 7.3, 8.1
merge, 5.7, 7.9, 8.1
picture, 4.5, 9.5, 9.2
maker, 3.5, 8.5, 8.5
photo, 5.9, 9.1, 9
ap, 4.2, 9.5, 9.3
