search term, traffic, iphone difficulty, ipad difficulty
meebo, 0.5, 4.9, 8.5
milo, 2.3, 9.4, 9.4
modesto, 1.3, 8.2, 7
lomotif, 5.4, 9.2, 9.5
temp, 3.6, 7.3, 8.3
transition, 1.6, 9, 8.8
majestic, 1.2, 8.5, 6.8
typo, 2.1, 9.5, 9.3
funimation, 6.1, 8.3, 8.4
moviestar, 2.5, 8.6, 8.3
vexed, 0.5, 9.5, 9.4
bct, 2.0, 7.7, 9.1
edit, 5.5, 9.3, 9.2
funimate, 6.6, 8.5, 9.3
playmate, 0.5, 8.5, 8.9
melody, 2.8, 9, 9
magisto, 3.7, 9.1, 9.3
transport, 2.5, 7.2, 6.6
commercial, 0.8, 7.9, 8.5
starring, 0.5, 9.3, 9.4
funi, 3.2, 8.7, 8.8
harpoon, 0.8, 8, 7.4
thestar, 0.5, 9.5, 9.4
lomo, 1.6, 7.6, 8.7
starmaker, 4.7, 7.8, 7.7
beating, 0.7, 9.4, 8.9
video, 5.5, 8.7, 9.4
output, 1.9, 7.7, 9.2
muzyka, 0.5, 9.5, 9.5
slideshow, 4.4, 8.6, 8.1
moviemaker, 2.0, 8.7, 8.2
shallow, 1.3, 9.5, 9.5
ten, 2.5, 8.6, 9.2
lut, 1.3, 7.6, 8.5
coldplay, 1.2, 9, 9.4
ncs, 1.8, 9, 9.4
abm, 2.2, 9.5, 9.4
transit, 6.0, 8, 8
vdo, 0.9, 9, 9.5
alps, 0.9, 8.8, 9.3
miu, 1.0, 9.5, 9.5
sepia, 0.5, 7.8, 9.3
beatmaker, 3.0, 8.3, 8.1
moviepass, 1.5, 9.1, 9.5
musket, 1.6, 9, 8.8
beats, 5.6, 8.7, 8.3
maui, 2.7, 5.2, 3.8
contrast, 0.6, 8.3, 9.3
starz, 7.0, 9.5, 8.5
picasso, 2.4, 7.3, 8
effect, 3.1, 9.2, 8.1
image, 3.1, 9, 8.8
music, 7.4, 9.3, 9.3
movies, 5.9, 9.3, 9.5
photography, 4.0, 7.6, 8.9
sharpen, 1.1, 8.8, 9
photogene, 0.9, 9.5, 9.4
photoeditor, 2.3, 8.9, 9
amerigo, 4.5, 9.5, 9.5
apply, 1.6, 9.4, 9.2
editing, 4.8, 9.4, 9.3
maker, 3.5, 8.5, 8.5
bugs, 2.9, 6.9, 6.2
netease, 3.3, 8.1, 8.2
collection, 2.5, 7.3, 8.1
peru, 1.7, 6.7, 9
pic, 4.6, 9.5, 8.5
aviary, 3.6, 8.8, 9.2
picture, 4.5, 9.5, 9.2
photo, 5.9, 9.1, 9
