search term, traffic, iphone difficulty, ipad difficulty
timehop, 4.3, 5.9, 5.1
quik, 5.1, 8.6, 9
modesto, 1.3, 8.2, 7
filmora, 4.7, 8.9, 9.4
magisto, 3.7, 9.1, 9.3
slideshow, 4.4, 8.6, 8.1
majestic, 1.2, 8.5, 6.8
picplaypost, 4.3, 8.9, 7.4
videoshow, 4.2, 8.4, 8.4
beijing, 1.8, 7.1, 7.7
flipagram, 4.9, 9.1, 9.1
rotation, 1.5, 4.6, 6.9
slides, 6.1, 9.1, 9.5
ppt, 3.4, 9.5, 8.6
input, 1.7, 9.4, 9.4
timbre, 1.9, 8.7, 9.1
sliding, 1.2, 9.5, 8.4
ripple, 2.9, 7.9, 6.9
gopro, 6.0, 8.1, 9.5
cita, 1.5, 8.1, 8.1
output, 1.9, 7.7, 9.2
imovie, 7.1, 9.2, 9
shower, 2.4, 7.4, 8.6
inshot, 7.0, 9.1, 9
photolab, 3.7, 6.6, 7.4
graphic, 3.0, 7.4, 7.9
cons, 1.6, 8.9, 9.5
instaphoto, 1.4, 9.5, 9.2
collagemaker, 2.2, 9, 9.5
lab, 3.2, 6.3, 6
designing, 2.4, 8.8, 8.4
lut, 1.3, 7.6, 8.5
create, 4.0, 8.2, 7.2
moviemaker, 2.0, 8.7, 8.2
effect, 3.1, 9.2, 8.1
design, 5.0, 8.9, 8
abm, 2.2, 9.5, 9.4
stare, 1.6, 8.7, 9.1
moviepass, 1.5, 9.1, 9.5
picasso, 2.4, 7.3, 8
photoframe, 2.0, 8.7, 7.4
edit, 5.5, 9.3, 9.2
shallow, 1.3, 9.5, 9.5
photography, 4.0, 7.6, 8.9
ncs, 1.8, 9, 9.4
coldplay, 1.2, 9, 9.4
miu, 1.0, 9.5, 9.5
editing, 4.8, 9.4, 9.3
photoeditor, 2.3, 8.9, 9
musket, 1.6, 9, 8.8
music, 7.4, 9.3, 9.3
amerigo, 4.5, 9.5, 9.5
sharpen, 1.1, 8.8, 9
creating, 1.2, 8.3, 8.8
maui, 2.7, 5.2, 3.8
video, 5.5, 8.7, 9.4
ap, 4.2, 9.5, 9.3
apply, 1.6, 9.4, 9.2
ato, 1.9, 8.9, 9.2
aviary, 3.6, 8.8, 9.2
bugs, 2.9, 6.9, 6.2
collage, 5.8, 8.5, 9.5
collection, 2.5, 7.3, 8.1
maker, 3.5, 8.5, 8.5
netease, 3.3, 8.1, 8.2
peru, 1.7, 6.7, 9
photo, 5.9, 9.1, 9
pic, 4.6, 9.5, 8.5
picture, 4.5, 9.5, 9.2
sand, 3.6, 8.3, 8.3
