search term, traffic, iphone difficulty, ipad difficulty
hottest, 0.5, 5.2, 6.8
videoshow, 4.2, 8.4, 8.4
slideshow, 4.4, 8.6, 8.1
flipagram, 4.9, 9.1, 9.1
slides, 6.1, 9.1, 9.5
rotation, 1.5, 4.6, 6.9
vivavideo, 3.7, 8.6, 8.3
commercial, 0.8, 7.9, 8.5
facile, 0.5, 8.9, 9.1
programmer, 0.5, 6.9, 8.6
facility, 0.5, 4.4, 8.3
program, 2.0, 8.4, 7.7
programming, 3.3, 7.3, 6.1
output, 1.9, 7.7, 9.2
abm, 2.2, 9.5, 9.4
amerigo, 4.5, 9.5, 9.5
appcreator, 0.5, 8.8, 8.7
apply, 1.6, 9.4, 9.2
aviary, 3.6, 8.8, 9.2
bugs, 2.9, 6.9, 6.2
busty, 1.5, 8.4, 9.5
clarify, 0.5, 6.9, 9.5
clips, 5.4, 9.4, 8.6
coco, 5.4, 8.3, 8.1
coldplay, 1.2, 9, 9.4
collection, 2.5, 7.3, 8.1
contrast, 0.6, 8.3, 9.3
crea, 1.3, 8.6, 8.5
creator, 3.1, 6.7, 6.9
easy, 3.2, 8.5, 7.8
edit, 5.5, 9.3, 9.2
editing, 4.8, 9.4, 9.3
fratmusic, 0.5, 9.5, 9.5
gaga, 1.7, 5.7, 8.2
imagechef, 0.9, 3.1, 8.9
imaging, 1.2, 7.5, 7.8
lut, 1.3, 7.6, 8.5
maker, 3.5, 8.5, 8.5
maui, 2.7, 5.2, 3.8
miu, 1.0, 9.5, 9.5
moviemaker, 2.0, 8.7, 8.2
moviepass, 1.5, 9.1, 9.5
movies, 5.9, 9.3, 9.5
music, 7.4, 9.3, 9.3
musket, 1.6, 9, 8.8
muzyka, 0.5, 9.5, 9.5
ncs, 1.8, 9, 9.4
netease, 3.3, 8.1, 8.2
peru, 1.7, 6.7, 9
photo, 5.9, 9.1, 9
photoeditor, 2.3, 8.9, 9
photogene, 0.9, 9.5, 9.4
photography, 4.0, 7.6, 8.9
pic, 4.6, 9.5, 8.5
picasso, 2.4, 7.3, 8
picture, 4.5, 9.5, 9.2
sepia, 0.5, 7.8, 9.3
shallow, 1.3, 9.5, 9.5
sharpen, 1.1, 8.8, 9
shower, 2.4, 7.4, 8.6
simple, 4.7, 8.9, 8
stare, 1.6, 8.7, 9.1
vdo, 0.9, 9, 9.5
vexed, 0.5, 9.5, 9.4
video, 5.5, 8.7, 9.4
