search term, traffic, iphone difficulty, ipad difficulty
slideshow, 4.4, 8.6, 8.1
twi, 4.0, 9.5, 8
fenix, 3.0, 6.9, 8.8
picplaypost, 4.3, 8.9, 7.4
tweetcaster, 2.5, 8.2, 8
rotation, 1.5, 4.6, 6.9
gifmaker, 1.8, 7.8, 8.9
gimp, 4.2, 8.8, 8.5
sliding, 1.2, 9.5, 8.4
myvidster, 3.6, 8.3, 7.7
slides, 6.1, 9.1, 9.5
tee, 2.1, 9.5, 7.2
twitter, 8.9, 9.5, 9.5
father, 2.2, 7.9, 7.7
favebook, 4.1, 9.3, 9.4
gifboom, 1.6, 8.1, 9.5
quicken, 4.5, 8.8, 9.2
videoshow, 4.2, 8.4, 8.4
output, 1.9, 7.7, 9.2
vevo, 3.8, 9.5, 9.5
sweet, 3.5, 8.3, 8.7
birthday, 3.6, 7.4, 6.6
gif, 6.0, 8, 8
fb, 5.8, 9.5, 9.5
aparat, 3.6, 8.7, 9.5
purchased, 3.0, 9.1, 8.8
shower, 2.4, 7.4, 8.6
florida, 2.7, 4.5, 6.6
meta, 5.5, 9.5, 9.5
moviemaker, 2.0, 8.7, 8.2
photoshop, 6.9, 7.9, 7.9
myspace, 4.8, 8.7, 7.1
setting, 3.6, 8.6, 9.1
youtube, 8.9, 9.4, 9.4
effect, 3.1, 9.2, 8.1
heywire, 1.2, 7.5, 8.3
inlove, 3.5, 7.2, 9
abm, 2.2, 9.5, 9.4
face, 5.5, 8.8, 8.3
textedit, 2.2, 9.5, 8.8
lovesick, 1.7, 8.1, 7.4
photography, 4.0, 7.6, 8.9
3d, 5.2, 9.1, 8.8
amerigo, 4.5, 9.5, 9.5
apply, 1.6, 9.4, 9.2
bugs, 2.9, 6.9, 6.2
collection, 2.5, 7.3, 8.1
dad, 3.1, 9.3, 8.6
edit, 5.5, 9.3, 9.2
editing, 4.8, 9.4, 9.3
image, 3.1, 9, 8.8
maker, 3.5, 8.5, 8.5
moviepass, 1.5, 9.1, 9.5
movies, 5.9, 9.3, 9.5
music, 7.4, 9.3, 9.3
musket, 1.6, 9, 8.8
ncs, 1.8, 9, 9.4
netease, 3.3, 8.1, 8.2
peru, 1.7, 6.7, 9
photo, 5.9, 9.1, 9
photoeditor, 2.3, 8.9, 9
pic, 4.6, 9.5, 8.5
picture, 4.5, 9.5, 9.2
quik, 5.1, 8.6, 9
sand, 3.6, 8.3, 8.3
shallow, 1.3, 9.5, 9.5
stare, 1.6, 8.7, 9.1
text, 6.6, 8.3, 8.9
textfree, 5.7, 8.4, 8.4
video, 5.5, 8.7, 9.4
