search term, traffic, iphone difficulty, ipad difficulty
flipagram, 4.9, 9.1, 9.1
lomotif, 5.4, 9.2, 9.5
picplaypost, 4.3, 8.9, 7.4
funi, 3.2, 8.7, 8.8
fmp, 3.0, 7.9, 9.4
vivavideo, 3.7, 8.6, 8.3
photogrid, 5.5, 9.2, 8.8
funimation, 6.1, 8.3, 8.4
showbox, 3.2, 6.9, 9.2
flipbook, 2.9, 8, 6.1
montage, 2.8, 8, 7.8
caput, 2.7, 8.8, 9
funimate, 6.6, 8.5, 9.3
vue, 3.4, 7.5, 8.9
kinemaster, 5.5, 9.1, 9.4
starmaker, 4.7, 7.8, 7.7
cap, 4.3, 9.5, 9.5
slideshow, 4.4, 8.6, 8.1
vc, 3.0, 6.7, 8.1
slides, 6.1, 9.1, 9.5
moviestar, 2.5, 8.6, 8.3
kwai, 5.9, 8.9, 8.4
imovie, 7.1, 9.2, 9
perfect, 3.2, 8.6, 8.5
splice, 5.7, 8.9, 9.1
videoshop, 4.5, 8.8, 8.9
vsco, 7.2, 8.2, 9.3
total, 5.1, 9.2, 8.3
inshot, 7.0, 9.1, 9
idm, 3.5, 8.7, 8.1
downloader, 5.5, 8.3, 8
grid, 5.3, 7.4, 7.5
smooth, 3.9, 8.1, 7.6
shower, 2.4, 7.4, 8.6
box, 5.1, 8.1, 8.2
aparat, 3.6, 8.7, 9.5
tokyo, 2.9, 6, 8.5
tik, 6.1, 9, 9
cute, 4.4, 7.1, 7.8
clips, 5.4, 9.4, 8.6
premium, 3.2, 9.4, 8.5
tiktok, 8.3, 9.4, 9.1
youtube, 8.9, 9.4, 9.4
setting, 3.6, 8.6, 9.1
amerigo, 4.5, 9.5, 9.5
aviary, 3.6, 8.8, 9.2
bugs, 2.9, 6.9, 6.2
camera, 6.1, 8.5, 7.5
chat, 6.0, 8.5, 9.2
clean, 4.1, 7.7, 8.2
collage, 5.8, 8.5, 9.5
collection, 2.5, 7.3, 8.1
edit, 5.5, 9.3, 9.2
editing, 4.8, 9.4, 9.3
five, 4.1, 6.8, 7.3
master, 4.4, 8.6, 8.3
monkey, 6.6, 8, 8.7
music, 7.4, 9.3, 9.3
netease, 3.3, 8.1, 8.2
number, 4.5, 8.8, 8
photo, 5.9, 9.1, 9
photography, 4.0, 7.6, 8.9
pic, 4.6, 9.5, 8.5
picasso, 2.4, 7.3, 8
picture, 4.5, 9.5, 9.2
quik, 5.1, 8.6, 9
smartwatch, 2.4, 6, 9.5
starz, 7.0, 9.5, 8.5
video, 5.5, 8.7, 9.4
watch, 6.1, 8.5, 9.1
