search term, traffic, iphone difficulty, ipad difficulty
animoto, 3.4, 8.3, 8.3
replay, 2.6, 6.7, 6.4
slideshow, 4.4, 8.6, 8.1
mojo, 5.0, 7.7, 6.4
flipagram, 4.9, 9.1, 9.1
magisto, 3.7, 9.1, 9.3
flipbook, 2.9, 8, 6.1
slides, 6.1, 9.1, 9.5
funimate, 6.6, 8.5, 9.3
moviemaker, 2.0, 8.7, 8.2
funimation, 6.1, 8.3, 8.4
rotation, 1.5, 4.6, 6.9
picplaypost, 4.3, 8.9, 7.4
funi, 3.2, 8.7, 8.8
smartmusic, 2.4, 7.1, 8
filmora, 4.7, 8.9, 9.4
cherokee, 1.5, 1.7, 4.9
chrome, 7.9, 8.1, 8.3
chromium, 2.1, 8.5, 8.6
tec, 2.2, 7.1, 8.8
textplus, 6.3, 8.5, 8.5
videoshop, 4.5, 8.8, 8.9
moviepass, 1.5, 9.1, 9.5
fx, 4.5, 6.5, 8.6
che, 2.4, 9.3, 9.4
output, 1.9, 7.7, 9.2
shower, 2.4, 7.4, 8.6
finstagram, 3.5, 8.7, 9.3
ultraviolet, 2.1, 9, 9.5
instaphoto, 1.4, 9.5, 9.2
ig, 6.6, 9, 9
movies, 5.9, 9.3, 9.5
insta, 6.8, 9.5, 9.3
myspace, 4.8, 8.7, 7.1
abm, 2.2, 9.5, 9.4
amerigo, 4.5, 9.5, 9.5
ap, 4.2, 9.5, 9.3
apply, 1.6, 9.4, 9.2
art, 6.0, 9, 9.2
aviary, 3.6, 8.8, 9.2
blick, 2.3, 9.4, 9.3
bugs, 2.9, 6.9, 6.2
collection, 2.5, 7.3, 8.1
create, 4.0, 8.2, 7.2
dev, 2.0, 9.1, 8.6
edit, 5.5, 9.3, 9.2
editing, 4.8, 9.4, 9.3
effect, 3.1, 9.2, 8.1
ins, 5.8, 9.5, 9.3
maker, 3.5, 8.5, 8.5
maui, 2.7, 5.2, 3.8
music, 7.4, 9.3, 9.3
musket, 1.6, 9, 8.8
ncs, 1.8, 9, 9.4
netease, 3.3, 8.1, 8.2
photo, 5.9, 9.1, 9
photoeditor, 2.3, 8.9, 9
photography, 4.0, 7.6, 8.9
pic, 4.6, 9.5, 8.5
picasso, 2.4, 7.3, 8
picture, 4.5, 9.5, 9.2
real, 4.3, 8.3, 8.4
shallow, 1.3, 9.5, 9.5
stories, 4.6, 9.3, 9.1
story, 5.1, 8, 9
testing, 1.7, 9.2, 9
text, 6.6, 8.3, 8.9
textedit, 2.2, 9.5, 8.8
textfree, 5.7, 8.4, 8.4
video, 5.5, 8.7, 9.4
