search term, traffic, iphone difficulty, ipad difficulty
slideshow, 4.4, 8.6, 8.1
cinepic, 1.0, 7.9, 8
videoshow, 4.2, 8.4, 8.4
flipbook, 2.9, 8, 6.1
slides, 6.1, 9.1, 9.5
clips, 5.4, 9.4, 8.6
moviemaker, 2.0, 8.7, 8.2
fmp, 3.0, 7.9, 9.4
vivavideo, 3.7, 8.6, 8.3
keynote, 5.1, 9, 9.2
picmonkey, 4.2, 8.8, 9.5
inshot, 7.0, 9.1, 9
rotation, 1.5, 4.6, 6.9
efx, 0.9, 5.9, 8.4
gird, 2.1, 7.6, 9.1
input, 1.7, 9.4, 9.4
instaphoto, 1.4, 9.5, 9.2
sliding, 1.2, 9.5, 8.4
arri, 0.9, 2.8, 3.7
timbre, 1.9, 8.7, 9.1
shower, 2.4, 7.4, 8.6
montage, 2.8, 8, 7.8
collagemaker, 2.2, 9, 9.5
appstore, 4.3, 9.5, 8.7
flipagram, 4.9, 9.1, 9.1
output, 1.9, 7.7, 9.2
ultraviolet, 2.1, 9, 9.5
moviepass, 1.5, 9.1, 9.5
mesenger, 4.4, 9.5, 9
photocard, 0.6, 9.5, 9.5
photoframe, 2.0, 8.7, 7.4
photography, 4.0, 7.6, 8.9
cons, 1.6, 8.9, 9.5
commercial, 0.8, 7.9, 8.5
premium, 3.2, 9.4, 8.5
gaga, 1.7, 5.7, 8.2
abm, 2.2, 9.5, 9.4
movies, 5.9, 9.3, 9.5
collage, 5.8, 8.5, 9.5
picasso, 2.4, 7.3, 8
stare, 1.6, 8.7, 9.1
lut, 1.3, 7.6, 8.5
edit, 5.5, 9.3, 9.2
create, 4.0, 8.2, 7.2
photoeditor, 2.3, 8.9, 9
shallow, 1.3, 9.5, 9.5
ncs, 1.8, 9, 9.4
coldplay, 1.2, 9, 9.4
contrast, 0.6, 8.3, 9.3
maui, 2.7, 5.2, 3.8
photogene, 0.9, 9.5, 9.4
music, 7.4, 9.3, 9.3
miu, 1.0, 9.5, 9.5
musket, 1.6, 9, 8.8
sharpen, 1.1, 8.8, 9
maker, 3.5, 8.5, 8.5
vdo, 0.9, 9, 9.5
aviary, 3.6, 8.8, 9.2
collection, 2.5, 7.3, 8.1
ato, 1.9, 8.9, 9.2
amerigo, 4.5, 9.5, 9.5
bugs, 2.9, 6.9, 6.2
creating, 1.2, 8.3, 8.8
pic, 4.6, 9.5, 8.5
netease, 3.3, 8.1, 8.2
peru, 1.7, 6.7, 9
argos, 1.7, 9.5, 9.2
ap, 4.2, 9.5, 9.3
apps, 5.2, 9.5, 9.5
sand, 3.6, 8.3, 8.3
