search term, traffic, iphone difficulty, ipad difficulty
magisto, 3.7, 9.1, 9.3
slideshow, 4.4, 8.6, 8.1
ihatch, 1.2, 7.9, 6.2
sst, 1.2, 5.8, 5.8
subscribe, 1.6, 6.1, 5.4
videoshow, 4.2, 8.4, 8.4
rotation, 1.5, 4.6, 6.9
transition, 1.6, 9, 8.8
bct, 2.0, 7.7, 9.1
triller, 5.8, 9, 9
bian, 2.7, 8.9, 9
sliding, 1.2, 9.5, 8.4
slides, 6.1, 9.1, 9.5
transport, 2.5, 7.2, 6.6
transit, 6.0, 8, 8
output, 1.9, 7.7, 9.2
shower, 2.4, 7.4, 8.6
abm, 2.2, 9.5, 9.4
aj, 3.0, 9, 8.7
amerigo, 4.5, 9.5, 9.5
ani, 3.0, 9.1, 8.8
animation, 5.2, 7, 7.4
anime, 6.4, 8.5, 8.3
apply, 1.6, 9.4, 9.2
ato, 1.9, 8.9, 9.2
aviary, 3.6, 8.8, 9.2
bugs, 2.9, 6.9, 6.2
coldplay, 1.2, 9, 9.4
collage, 5.8, 8.5, 9.5
collagemaker, 2.2, 9, 9.5
collection, 2.5, 7.3, 8.1
commercial, 0.8, 7.9, 8.5
contrast, 0.6, 8.3, 9.3
edit, 5.5, 9.3, 9.2
editing, 4.8, 9.4, 9.3
enemy, 1.9, 8.2, 8.4
feral, 2.8, 7.5, 8.1
gaga, 1.7, 5.7, 8.2
image, 3.1, 9, 8.8
kissanime, 3.3, 7.1, 8.8
lut, 1.3, 7.6, 8.5
maker, 3.5, 8.5, 8.5
maui, 2.7, 5.2, 3.8
miu, 1.0, 9.5, 9.5
moviemaker, 2.0, 8.7, 8.2
moviepass, 1.5, 9.1, 9.5
movies, 5.9, 9.3, 9.5
music, 7.4, 9.3, 9.3
musket, 1.6, 9, 8.8
ncs, 1.8, 9, 9.4
netease, 3.3, 8.1, 8.2
overlord, 2.8, 7.5, 7.7
peru, 1.7, 6.7, 9
photo, 5.9, 9.1, 9
photocard, 0.6, 9.5, 9.5
photoeditor, 2.3, 8.9, 9
photoframe, 2.0, 8.7, 7.4
photogene, 0.9, 9.5, 9.4
photography, 4.0, 7.6, 8.9
pic, 4.6, 9.5, 8.5
picasso, 2.4, 7.3, 8
pictograph, 0.8, 9.5, 9.4
picture, 4.5, 9.5, 9.2
sds, 2.9, 4.7, 6.1
shallow, 1.3, 9.5, 9.5
sharpen, 1.1, 8.8, 9
stare, 1.6, 8.7, 9.1
vdo, 0.9, 9, 9.5
vexed, 0.5, 9.5, 9.4
video, 5.5, 8.7, 9.4
