search term, traffic, iphone difficulty, ipad difficulty
slideshow, 4.4, 8.6, 8.1
picplaypost, 4.3, 8.9, 7.4
flipagram, 4.9, 9.1, 9.1
flipbook, 2.9, 8, 6.1
slides, 6.1, 9.1, 9.5
videoshow, 4.2, 8.4, 8.4
rotation, 1.5, 4.6, 6.9
ppt, 3.4, 8.8, 9.2
input, 1.7, 9.4, 9.4
vivavideo, 3.7, 8.6, 8.3
timbre, 1.9, 8.7, 9.1
sliding, 1.2, 9.5, 8.4
audition, 2.6, 6.9, 6.7
filmer, 1.6, 8.9, 9.3
montage, 2.8, 8, 7.8
output, 1.9, 7.7, 9.2
appstore, 4.3, 9.5, 8.7
intro, 3.7, 5.8, 6.3
photolab, 3.7, 6.6, 7.4
inshot, 7.0, 9.1, 9
lab, 3.2, 6.3, 6
shower, 2.4, 7.4, 8.6
instaphoto, 1.4, 9.5, 9.2
song, 4.7, 9.4, 9.4
stare, 1.6, 8.7, 9.1
hayat, 2.1, 8.4, 8.7
merging, 1.5, 8.8, 8.5
gaga, 1.7, 5.7, 8.2
audio, 4.5, 9, 8.8
moviemaker, 2.0, 8.7, 8.2
lut, 1.3, 7.6, 8.5
abm, 2.2, 9.5, 9.4
merge, 5.7, 7.9, 8.1
photography, 4.0, 7.6, 8.9
picasso, 2.4, 7.3, 8
photoframe, 2.0, 8.7, 7.4
moviepass, 1.5, 9.1, 9.5
movies, 5.9, 9.3, 9.5
shallow, 1.3, 9.5, 9.5
ncs, 1.8, 9, 9.4
alps, 0.9, 8.8, 9.3
amerigo, 4.5, 9.5, 9.5
ap, 4.2, 9.5, 9.3
apply, 1.6, 9.4, 9.2
argos, 1.7, 9.5, 9.2
ato, 1.9, 8.9, 9.2
aviary, 3.6, 8.8, 9.2
bugs, 2.9, 6.9, 6.2
coldplay, 1.2, 9, 9.4
collage, 5.8, 8.5, 9.5
collagemaker, 2.2, 9, 9.5
collection, 2.5, 7.3, 8.1
edit, 5.5, 9.3, 9.2
editing, 4.8, 9.4, 9.3
ins, 5.8, 9.5, 9.3
maker, 3.5, 8.5, 8.5
miu, 1.0, 9.5, 9.5
music, 7.4, 9.3, 9.3
musket, 1.6, 9, 8.8
netease, 3.3, 8.1, 8.2
peru, 1.7, 6.7, 9
photo, 5.9, 9.1, 9
photoeditor, 2.3, 8.9, 9
photogene, 0.9, 9.5, 9.4
pic, 4.6, 9.5, 8.5
pictograph, 0.8, 9.5, 9.4
picture, 4.5, 9.5, 9.2
sharpen, 1.1, 8.8, 9
vdo, 0.9, 9, 9.5
video, 5.5, 8.7, 9.4
