search term, traffic, iphone difficulty, ipad difficulty
memorial, 1.4, 5.9, 5.7
slideshow, 4.4, 8.6, 8.1
glimpse, 2.7, 3.5, 9.4
indexing, 1.6, 8.5, 8.4
turningpoint, 2.3, 7.4, 6.8
montage, 2.8, 8, 7.8
vivavideo, 3.7, 8.6, 8.3
appcreator, 0.5, 8.8, 8.7
grease, 0.8, 9.4, 9.3
sliding, 1.2, 9.5, 8.4
slides, 6.1, 9.1, 9.5
birthday, 3.6, 7.4, 6.6
intro, 3.7, 5.8, 6.3
ultraviolet, 2.1, 9, 9.5
memory, 3.7, 8.1, 7.7
creator, 3.1, 6.7, 6.9
photomontage, 0.5, 9.1, 9.3
kimbo, 0.5, 8.9, 8
movies, 5.9, 9.3, 9.5
moviepass, 1.5, 9.1, 9.5
photocard, 0.6, 9.5, 9.5
amerigo, 4.5, 9.5, 9.5
apply, 1.6, 9.4, 9.2
bugs, 2.9, 6.9, 6.2
cards, 4.6, 9, 8.9
coldplay, 1.2, 9, 9.4
collection, 2.5, 7.3, 8.1
fratmusic, 0.5, 9.5, 9.5
image, 3.1, 9, 8.8
maui, 2.7, 5.2, 3.8
miu, 1.0, 9.5, 9.5
moviemaker, 2.0, 8.7, 8.2
music, 7.4, 9.3, 9.3
musket, 1.6, 9, 8.8
muzyka, 0.5, 9.5, 9.5
ncs, 1.8, 9, 9.4
netease, 3.3, 8.1, 8.2
peru, 1.7, 6.7, 9
photo, 5.9, 9.1, 9
photography, 4.0, 7.6, 8.9
pic, 4.6, 9.5, 8.5
picture, 4.5, 9.5, 9.2
shallow, 1.3, 9.5, 9.5
