search term, traffic, iphone difficulty, ipad difficulty
slideshow, 4.4, 8.6, 8.1
animoto, 3.4, 8.3, 8.3
flipagram, 4.9, 9.1, 9.1
picplaypost, 4.3, 8.9, 7.4
flipbook, 2.9, 8, 6.1
magisto, 3.7, 9.1, 9.3
alight, 4.4, 7.9, 9.2
slides, 6.1, 9.1, 9.5
envy, 1.0, 6.6, 9.2
pre, 2.8, 7.6, 8.1
imove, 3.8, 8.9, 8.6
filmora, 4.7, 8.9, 9.4
flipaclip, 6.0, 6.9, 6.9
rotation, 1.5, 4.6, 6.9
motion, 4.2, 7.7, 7.9
boomerang, 5.5, 6, 5.8
sliding, 1.2, 9.5, 8.4
splice, 5.7, 8.9, 9.1
flipping, 1.9, 7.4, 8.3
boomer, 1.4, 8.6, 8.8
prequel, 7.1, 9, 8.6
montage, 2.8, 8, 7.8
output, 1.9, 7.7, 9.2
videoshop, 4.5, 8.8, 8.9
aesthetic, 5.0, 8.6, 6.5
tutorial, 2.8, 7.4, 7.6
flip, 5.3, 8.5, 8.4
commercial, 0.8, 7.9, 8.5
shower, 2.4, 7.4, 8.6
collagemaker, 2.2, 9, 9.5
premium, 3.2, 9.4, 8.5
photocard, 0.6, 9.5, 9.5
stare, 1.6, 8.7, 9.1
lab, 3.2, 6.3, 6
photoframe, 2.0, 8.7, 7.4
photoeditor, 2.3, 8.9, 9
picasso, 2.4, 7.3, 8
abm, 2.2, 9.5, 9.4
contrast, 0.6, 8.3, 9.3
photography, 4.0, 7.6, 8.9
music, 7.4, 9.3, 9.3
coco, 5.4, 8.3, 8.1
shallow, 1.3, 9.5, 9.5
ncs, 1.8, 9, 9.4
coldplay, 1.2, 9, 9.4
photogene, 0.9, 9.5, 9.4
lut, 1.3, 7.6, 8.5
aviary, 3.6, 8.8, 9.2
miu, 1.0, 9.5, 9.5
musket, 1.6, 9, 8.8
amerigo, 4.5, 9.5, 9.5
apps, 5.2, 9.5, 9.5
ato, 1.9, 8.9, 9.2
bugs, 2.9, 6.9, 6.2
collage, 5.8, 8.5, 9.5
collection, 2.5, 7.3, 8.1
edit, 5.5, 9.3, 9.2
editing, 4.8, 9.4, 9.3
maker, 3.5, 8.5, 8.5
maui, 2.7, 5.2, 3.8
muze, 2.9, 9, 9.4
netease, 3.3, 8.1, 8.2
peru, 1.7, 6.7, 9
photo, 5.9, 9.1, 9
pic, 4.6, 9.5, 8.5
pictograph, 0.8, 9.5, 9.4
picture, 4.5, 9.5, 9.2
sharpen, 1.1, 8.8, 9
vdo, 0.9, 9, 9.5
video, 5.5, 8.7, 9.4
