search term, traffic, iphone difficulty, ipad difficulty
slideshow, 4.4, 8.6, 8.1
magisto, 3.7, 9.1, 9.3
flipagram, 4.9, 9.1, 9.1
father, 2.2, 7.9, 7.7
transition, 1.6, 9, 8.8
prezi, 3.6, 5.4, 5.2
slides, 6.1, 9.1, 9.5
picplaypost, 4.3, 8.9, 7.4
register, 2.6, 8.2, 7.8
videoshow, 4.2, 8.4, 8.4
montage, 2.8, 8, 7.8
bct, 2.0, 7.7, 9.1
moviemaker, 2.0, 8.7, 8.2
myfit, 2.1, 7.1, 9.3
blender, 4.8, 5.4, 7
join, 2.6, 8.1, 9.2
filmora, 4.7, 8.9, 9.4
dac, 2.3, 9.5, 8.8
mix, 3.9, 8.8, 8.9
favebook, 4.1, 9.3, 9.4
transport, 2.5, 7.2, 6.6
transit, 6.0, 8, 8
combine, 3.5, 7.6, 8.6
square, 6.4, 7.7, 7.5
film, 4.2, 6.2, 8.4
output, 1.9, 7.7, 9.2
fb, 5.8, 9.5, 9.5
clips, 5.4, 9.4, 8.6
shower, 2.4, 7.4, 8.6
fit, 4.3, 9, 9.5
florida, 2.7, 4.5, 6.6
purchased, 3.0, 9.1, 8.8
meta, 5.5, 9.5, 9.5
creator, 3.1, 6.7, 6.9
ultraviolet, 2.1, 9, 9.5
myspace, 4.8, 8.7, 7.1
movies, 5.9, 9.3, 9.5
setting, 3.6, 8.6, 9.1
edit, 5.5, 9.3, 9.2
df, 2.2, 9.5, 8.8
abm, 2.2, 9.5, 9.4
amerigo, 4.5, 9.5, 9.5
animation, 5.2, 7, 7.4
ap, 4.2, 9.5, 9.3
aviary, 3.6, 8.8, 9.2
bravo, 5.3, 8.7, 9.2
bugs, 2.9, 6.9, 6.2
collection, 2.5, 7.3, 8.1
editing, 4.8, 9.4, 9.3
face, 5.5, 8.8, 8.3
maker, 3.5, 8.5, 8.5
music, 7.4, 9.3, 9.3
musket, 1.6, 9, 8.8
myapp, 1.6, 8.8, 8.6
ncs, 1.8, 9, 9.4
netease, 3.3, 8.1, 8.2
peru, 1.7, 6.7, 9
photo, 5.9, 9.1, 9
photoeditor, 2.3, 8.9, 9
photography, 4.0, 7.6, 8.9
pic, 4.6, 9.5, 8.5
picasso, 2.4, 7.3, 8
picture, 4.5, 9.5, 9.2
quik, 5.1, 8.6, 9
sand, 3.6, 8.3, 8.3
stories, 4.6, 9.3, 9.1
story, 5.1, 8, 9
studio, 4.9, 7.8, 7.8
tv, 5.6, 9.4, 9.2
video, 5.5, 8.7, 9.4
