search term, traffic, iphone difficulty, ipad difficulty
quik, 4.2, 8, 7.5
videoshow, 2.8, 8.1, 8.6
vivavideo, 3.0, 9.2, 7.6
instashot, 4.3, 7.8, 8.2
clíper, 0.5, 6.9, 6.9
magisto, 2.2, 7.9, 8.4
presentación, 0.5, 8.8, 8.8
storybeat, 3.8, 7.7, 8.3
hacer, 0.5, 7.8, 7.1
clip, 5.9, 7.4, 7.2
splice, 4.6, 7.3, 8.1
kinemaster, 5.3, 8.5, 8.2
inshot, 7.1, 8.9, 8.2
slides, 4.1, 7.6, 8.7
gopro, 4.6, 4.4, 7.1
colega, 0.5, 7.7, 8
collar, 0.5, 8, 8.1
mesenger, 7.0, 9.5, 7.8
crear, 2.4, 6.6, 6.3
con, 1.4, 8.9, 7.4
calidad, 2.7, 6.9, 8.4
imovie, 5.9, 7.7, 7.5
música, 3.3, 8.8, 7.2
bugs, 0.7, 6.5, 5.5
musica, 7.6, 9.4, 8.4
jam, 1.4, 8.5, 8.2
tunes, 3.3, 9.5, 9.3
musicbox, 0.8, 8.4, 9.2
polis, 0.9, 6.8, 7.6
pandora, 5.1, 8.4, 8.1
vídeos, 0.5, 9.4, 9.3
fotos, 7.0, 7.8, 8
artes, 0.6, 9.2, 9.2
vid, 0.5, 9.2, 9.5
medio, 0.5, 9.4, 9.3
piccollage, 3.8, 8.2, 8.2
videoder, 3.3, 7.4, 9.5
pelicula, 1.3, 6.3, 9.2
editor, 4.7, 8.6, 8.6
video, 5.4, 7.6, 7.7
aviary, 2.6, 7.8, 7.2
photo, 4.9, 7.6, 7.8
