search term, traffic, iphone difficulty, ipad difficulty
简易, 3.6, 9.4, 9.4
画中画, 3.2, 7.1, 6.9
影集, 1.9, 8.2, 8.2
剪影, 7.1, 9.5, 9.4
沙拉, 1.2, 6.3, 5.3
呕吐, 1.3, 8.3, 6.9
互粉, 1.3, 5.2, 9.5
坚硬, 2.9, 9.5, 9.5
录像, 3.4, 9.1, 7.3
建议, 1.9, 9.5, 9.5
呵呵, 1.5, 8.5, 9
走秀, 2.3, 9.5, 9.5
切割, 1.9, 8.6, 7.6
提取, 1.3, 9.1, 8
涂鸦, 4.8, 8.8, 8.2
长途, 2.3, 8.5, 8.1
检验, 2.0, 6, 7
青年, 2.0, 9.5, 9.5
马赛克, 4.2, 8.4, 5.2
相册, 5.6, 9.1, 7.9
乐视, 6.9, 9.5, 9.4
拼图, 6.7, 8.7, 8.9
贴纸, 4.4, 7.9, 8.5
美拍, 6.1, 9.5, 9.4
微软, 4.7, 6.7, 8.7
小男孩, 1.7, 7.8, 6.4
水印, 5.2, 8.8, 8
媒体, 2.5, 8.7, 9
拍照, 6.2, 9.5, 9.5
照片, 5.7, 9.5, 9.5
画布, 2.1, 8.2, 7.9
恩爱, 3.0, 8.1, 9.5
鹿晗, 1.2, 9.1, 9
制作, 2.8, 8.1, 7.4
关键词, 1.5, 9.5, 7.4
软件, 4.3, 9.5, 9.5
拜拜, 1.5, 9.5, 9.4
第一, 2.7, 8.8, 9.5
五月天, 2.1, 9, 9.5
周杰伦, 3.8, 9.3, 9.5
卸载, 2.6, 7.5, 8.9
911, 2.9, 4.1, 4.2
人人, 6.5, 8.6, 9
倒带, 3.5, 9.5, 9.5
元旦, 1.7, 9.4, 9.5
免费, 4.3, 9.5, 9.3
内衣, 3.4, 3.1, 8.9
冬瓜, 2.0, 9.2, 9.5
卡卡, 3.1, 8.4, 8.6
均衡器, 2.4, 4, 3.8
基地, 2.1, 9.5, 7
多米, 2.4, 9.5, 8.9
大海, 2.2, 7.9, 6.4
好莱坞, 1.6, 8.9, 9.5
屁股, 3.4, 9.5, 8.8
工具, 4.0, 8.8, 9.1
应用, 4.4, 9.5, 9.5
指纹, 2.3, 5.7, 4.9
晴天, 2.1, 9.5, 9.5
林俊杰, 1.6, 9.5, 8.8
热门, 2.3, 9.5, 9.1
熊猫, 5.1, 5.7, 6.1
着迷, 1.5, 9.4, 7.5
程序, 2.5, 9.5, 9.5
视频, 7.1, 9.5, 9.3
都有, 3.4, 9.4, 9.4
隔壁, 4.0, 9.1, 8.5
面包, 3.0, 6.7, 7.3
音乐, 7.7, 8.9, 9.4
食品, 2.3, 9.2, 9.5
